Date,Retail_Department,Service_Type,Region,Usage_Units,Cost_INR
2025-01-01,Grocery,Database,South,848.0,52220.0
2025-01-01,Fashion,CDN,North,768.0,4301.0
2025-01-01,Home,Database,South,399.0,22244.0
2025-01-01,Grocery,Storage,South,3186.0,18287.0
2025-01-01,Home,CDN,North,1106.0,6182.0
2025-01-01,Pharmacy,Storage,South,1673.0,10231.0
2025-01-01,Grocery,Storage,East,873.0,5527.0
2025-01-01,Home,Database,North,647.0,39373.0
2025-01-01,Electronics,Compute,North,450.0,14512.0
2025-01-01,Pharmacy,Compute,East,665.0,21267.0
2025-01-01,Electronics,Network,East,948.0,4011.0
2025-01-01,Grocery,Database,West,674.0,41365.0
2025-01-01,Home,Storage,West,920.0,6771.0
2025-01-01,Pharmacy,Storage,South,684.0,4078.0
2025-01-01,Electronics,CDN,North,398.0,2141.0
2025-01-02,Electronics,AI/ML,Central,85.0,16143.0
2025-01-02,Grocery,Network,North,996.0,4109.0
2025-01-02,Grocery,Storage,North,729.0,4215.0
2025-01-02,Fashion,Compute,North,373.0,12050.0
2025-01-02,Pharmacy,Storage,East,764.0,5341.0
2025-01-02,Pharmacy,Storage,Central,2006.0,12067.0
2025-01-02,Electronics,Network,South,1000.0,4204.0
2025-01-02,Sports,Compute,West,436.0,13697.0
2025-01-02,Beauty,AI/ML,Central,258.0,58322.0
2025-01-02,Beauty,CDN,North,929.0,4976.0
2025-01-02,Home,Storage,South,1151.0,7898.0
2025-01-02,Sports,Storage,North,632.0,3597.0
2025-01-02,Grocery,CDN,East,706.0,3638.0
2025-01-02,Home,AI/ML,North,385.0,89315.0
2025-01-02,Home,AI/ML,West,457.0,112631.0
2025-01-02,Fashion,Storage,East,1606.0,8111.0
2025-01-02,Electronics,Compute,West,443.0,13618.0
2025-01-03,Toys,Compute,West,358.0,12311.0
2025-01-03,Fashion,Monitoring,West,561.0,5350.0
2025-01-03,Pharmacy,Compute,North,683.0,18773.0
2025-01-03,Electronics,Network,West,663.0,2346.0
2025-01-03,Home,AI/ML,East,130.0,29741.0
2025-01-03,Grocery,Network,North,418.0,1876.0
2025-01-03,Electronics,Storage,Central,326.0,1694.0
