Date,Retail_Department,Service_Type,Region,Usage_Units,Cost_INR
2025-01-01,Electronics,Network,East,576.0,2559.83
2025-01-01,Toys,Storage,North,609.0,3606.0
2025-01-01,Toys,Network,South,713.0,2491.74
2025-01-01,Pharmacy,Logging,East,1248.0,3797.93
2025-01-01,Electronics,CDN,South,527.0,2698.73
2025-01-01,Electronics,Logging,Central,472.0,1248.0
2025-01-01,Electronics,Logging,West,583.0,1915.26
2025-01-01,Home,Database,North,389.0,20946.5
2025-01-01,Beauty,CDN,North,443.0,2218.17
2025-01-01,Electronics,AI/ML,East,471.0,98814.9
2025-01-01,Fashion,Network,East,605.0,2175.31
2025-01-01,Toys,Storage,West,1318.0,7470.33
2025-01-01,Sports,AI/ML,East,1184.0,232628.38
2025-01-01,Beauty,Network,North,389.0,1643.37
2025-01-01,Grocery,CDN,Central,188.0,998.29
2025-01-01,Toys,Storage,South,917.0,5241.47
2025-01-01,Beauty,Monitoring,South,654.0,5201.54
2025-01-01,Beauty,Logging,East,332.0,935.56
2025-01-01,Grocery,Compute,East,580.0,17840.47
2025-01-01,Home,Network,North,768.0,3015.76
2025-01-01,Beauty,Compute,East,465.0,15015.15
2025-01-01,Electronics,Compute,East,371.0,12711.6
2025-01-01,Pharmacy,Compute,North,876.0,27469.31
2025-01-01,Toys,Database,Central,768.0,38154.6
2025-01-01,Beauty,Network,East,755.0,2784.31
2025-01-01,Electronics,CDN,Central,164.0,888.69
2025-01-01,Sports,CDN,South,1190.0,5667.0
2025-01-01,Electronics,CDN,South,295.0,1495.17
2025-01-01,Toys,Storage,Central,1067.0,5806.41
2025-01-01,Toys,CDN,West,484.0,2569.63
2025-01-01,Fashion,AI/ML,South,817.0,189988.08
2025-01-01,Electronics,Storage,South,667.0,4108.94
2025-01-01,Electronics,Monitoring,South,719.0,5966.76
2025-01-01,Fashion,AI/ML,North,456.0,102535.18
2025-01-01,Home,Logging,North,538.0,1607.84
2025-01-01,Sports,AI/ML,West,562.0,121821.22
2025-01-01,Beauty,Storage,East,541.0,3010.3
2025-01-01,Pharmacy,Network,South,799.0,2998.69
2025-01-01,Home,Database,West,965.0,55885.75
2025-01-01,Fashion,CDN,East,284.0,1508.33
2025-01-01,Home,CDN,South,1281.0,6488.92
2025-01-01,Electronics,Logging,East,866.0,2191.19
2025-01-01,Sports,Database,South,1500.0,74147.03
2025-01-01,Beauty,Monitoring,South,1055.0,8500.17
2025-01-01,Fashion,Storage,East,212.0,1247.2
2025-01-01,Fashion,Monitoring,South,854.0,6537.27
2025-01-01,Grocery,AI/ML,West,447.0,90117.44
2025-01-01,Grocery,Network,South,362.0,1617.5
2025-01-01,Toys,CDN,East,381.0,2264.59
2025-01-01,Grocery,Compute,West,1204.0,33852.56
2025-01-01,Beauty,Logging,Central,736.0,2249.1
2025-01-01,Toys,Network,South,443.0,1645.37
2025-01-01,Home,Database,North,343.0,17099.58
2025-01-01,Fashion,Storage,East,712.0,4565.24
2025-01-01,Fashion,AI/ML,Central,1145.0,226572.82
2025-01-01,Grocery,Network,North,682.0,2225.97
2025-01-01,Grocery,AI/ML,East,655.0,136008.66
2025-01-01,Home,AI/ML,East,596.0,129427.72
2025-01-01,Sports,CDN,Central,338.0,1662.56
2025-01-01,Grocery,Logging,Central,883.0,3035.29
2025-01-01,Home,Database,Central,821.0,43695.61
2025-01-01,Beauty,AI/ML,East,1019.0,224452.66
2025-01-01,Toys,CDN,Central,730.0,3776.22
2025-01-01,Grocery,Database,East,549.0,28995.44
2025-01-01,Grocery,Logging,South,239.0,730.91
2025-01-01,Grocery,AI/ML,South,1135.0,232036.72
2025-01-01,Fashion,CDN,West,178.0,1036.65
2025-01-01,Pharmacy,Database,North,959.0,58990.05
2025-01-01,Electronics,Logging,South,559.0,1625.12
2025-01-01,Sports,Monitoring,North,760.0,7349.16
2025-01-01,Grocery,Storage,South,554.0,3676.32
2025-01-01,Fashion,Network,North,2162.0,7594.03
2025-01-01,Grocery,Compute,North,718.0,24062.82
2025-01-01,Pharmacy,Monitoring,West,1357.0,12462.63
2025-01-01,Beauty,Compute,Central,333.0,10070.32
2025-01-01,Grocery,Monitoring,North,494.0,4110.51
2025-01-01,Beauty,Network,East,810.0,3160.22
2025-01-01,Grocery,CDN,South,264.0,1194.97
2025-01-01,Beauty,Network,West,694.0,2933.36
2025-01-01,Beauty,Logging,South,828.0,2250.89
2025-01-01,Electronics,CDN,South,1794.0,8307.4
2025-01-01,Grocery,CDN,West,842.0,3834.77
2025-01-01,Toys,CDN,Central,694.0,3954.19
2025-01-01,Electronics,Database,South,1978.0,113164.76
2025-01-01,Pharmacy,Logging,North,323.0,873.06
2025-01-01,Beauty,Logging,East,381.0,1086.71
2025-01-01,Pharmacy,AI/ML,East,1118.0,229300.67
2025-01-01,Electronics,AI/ML,Central,998.0,170966.01
2025-01-01,Toys,AI/ML,North,873.0,178908.82
2025-01-01,Home,CDN,East,1469.0,7035.7
2025-01-01,Home,CDN,West,787.0,3794.0
2025-01-01,Grocery,Logging,West,852.0,2723.8
2025-01-01,Grocery,Storage,South,711.0,4804.78
2025-01-01,Beauty,Database,Central,635.0,37327.4
2025-01-01,Sports,Logging,Central,593.0,1934.01
2025-01-01,Electronics,Logging,South,1267.0,3567.96
2025-01-01,Toys,CDN,West,580.0,3200.69
2025-01-01,Sports,AI/ML,West,413.0,85769.46
2025-01-01,Fashion,Database,North,1408.0,83800.45
2025-01-01,Beauty,Storage,West,603.0,3658.15
2025-01-01,Fashion,Monitoring,West,899.0,7352.75
2025-01-01,Pharmacy,Compute,South,336.0,10216.94
2025-01-01,Grocery,Logging,West,507.0,1627.41
2025-01-01,Fashion,Monitoring,Central,661.0,5502.61
2025-01-01,Fashion,CDN,North,521.0,2770.21
2025-01-01,Fashion,Database,East,437.0,26162.69
2025-01-01,Electronics,Monitoring,East,478.0,3972.98
2025-01-01,Electronics,AI/ML,East,505.0,109227.97
